iter	Passed	Remaining
0	49	24864
1	96	23971
2	140	23200
3	184	22936
4	223	22153
5	263	21700
6	304	21478
7	347	21384
8	388	21200
9	430	21105
10	470	20905
11	509	20714
12	548	20561
13	588	20441
14	626	20270
15	671	20321
16	712	20239
17	748	20056
18	791	20025
19	830	19927
20	870	19865
21	913	19838
22	957	19852
23	995	19741
24	1038	19731
25	1076	19631
26	1119	19620
27	1163	19606
28	1206	19593
29	1246	19532
30	1283	19414
31	1325	19382
32	1372	19423
33	1417	19426
34	1463	19441
35	1510	19471
36	1557	19490
37	1601	19472
38	1647	19474
39	1686	19395
40	1731	19380
41	1775	19358
42	1812	19267
43	1849	19163
44	1883	19040
45	1922	18972
46	1964	18932
47	2004	18871
48	2041	18786
49	2082	18745
50	2128	18741
51	2175	18739
52	2212	18661
53	2251	18593
54	2291	18537
55	2327	18456
56	2369	18416
57	2407	18345
58	2443	18263
59	2480	18187
60	2517	18114
61	2557	18064
62	2598	18023
63	2639	17981
64	2684	17964
65	2725	17923
66	2770	17902
67	2814	17881
68	2856	17844
69	2901	17822
70	2947	17811
71	2991	17783
72	3031	17730
73	3070	17678
74	3107	17609
75	3143	17538
76	3185	17498
77	3230	17476
78	3272	17440
79	3314	17399
80	3354	17352
81	3392	17293
82	3429	17231
83	3493	17302
84	3551	17337
85	3599	17329
86	3647	17314
87	3694	17297
88	3745	17298
89	3793	17280
90	3839	17255
91	3880	17207
92	3927	17186
93	3963	17117
94	4002	17063
95	4041	17008
96	4081	16958
97	4126	16928
98	4166	16875
99	4207	16828
100	4249	16788
101	4288	16734
102	4349	16762
103	4403	16765
104	4453	16754
105	4487	16680
106	4526	16624
107	4567	16579
108	4608	16529
109	4648	16481
110	4690	16438
111	4728	16381
112	4774	16351
113	4811	16290
114	4852	16244
115	4894	16201
116	4936	16160
117	4972	16098
118	5013	16052
119	5053	16003
120	5093	15955
121	5133	15904
122	5173	15858
123	5215	15815
124	5256	15770
125	5298	15725
126	5340	15684
127	5376	15624
128	5419	15586
129	5459	15538
130	5499	15492
131	5539	15443
132	5578	15394
133	5616	15339
134	5650	15277
135	5692	15237
136	5735	15197
137	5779	15161
138	5821	15118
139	5862	15075
140	5906	15039
141	5952	15008
142	5989	14951
143	6036	14923
144	6080	14886
145	6123	14848
146	6170	14818
147	6213	14778
148	6258	14742
149	6300	14701
150	6345	14665
151	6388	14626
152	6433	14591
153	6479	14557
154	6525	14525
155	6569	14487
156	6607	14435
157	6655	14406
158	6704	14379
159	6753	14352
160	6796	14311
161	6842	14276
162	6890	14245
163	6931	14201
164	6980	14171
165	7022	14130
166	7067	14092
167	7109	14050
168	7157	14017
169	7200	13977
170	7247	13944
171	7290	13903
172	7337	13868
173	7383	13833
174	7426	13792
175	7463	13739
176	7510	13705
177	7551	13660
178	7596	13622
179	7643	13587
180	7690	13553
181	7735	13516
182	7777	13472
183	7820	13430
184	7863	13389
185	7907	13348
186	7949	13305
187	7990	13260
188	8037	13225
189	8084	13191
190	8130	13153
191	8175	13115
192	8211	13062
193	8256	13022
194	8301	12983
195	8347	12947
196	8391	12906
197	8433	12863
198	8480	12827
199	8522	12783
200	8565	12741
201	8609	12700
202	8655	12662
203	8697	12620
204	8753	12596
205	8803	12563
206	8852	12530
207	8901	12496
208	8952	12464
209	9000	12429
210	9048	12393
211	9092	12352
212	9140	12315
213	9180	12268
214	9218	12219
215	9263	12179
216	9310	12142
217	9353	12099
218	9396	12056
219	9441	12016
220	9478	11966
221	9527	11930
222	9570	11888
223	9617	11849
224	9661	11808
225	9705	11767
226	9751	11727
227	9799	11690
228	9851	11658
229	9894	11614
230	9938	11573
231	9983	11532
232	10029	11492
233	10067	11443
234	10110	11400
235	10162	11367
236	10199	11317
237	10237	11269
238	10277	11223
239	10322	11183
240	10366	11140
241	10415	11104
242	10459	11061
243	10502	11019
244	10548	10978
245	10585	10929
246	10622	10880
247	10666	10838
248	10705	10791
249	10745	10745
250	10786	10700
251	10832	10660
252	10873	10615
253	10915	10571
254	10958	10528
255	10998	10483
256	11035	10434
257	11080	10393
258	11122	10349
259	11167	10308
260	11212	10267
261	11254	10223
262	11299	10182
263	11335	10133
264	11381	10093
265	11424	10049
266	11465	10005
267	11512	9965
268	11556	9923
269	11600	9881
270	11643	9838
271	11686	9796
272	11722	9747
273	11769	9707
274	11815	9667
275	11852	9619
276	11899	9579
277	11941	9536
278	11982	9491
279	12029	9451
280	12071	9407
281	12116	9366
282	12154	9320
283	12200	9279
284	12242	9235
285	12285	9192
286	12332	9152
287	12378	9112
288	12427	9073
289	12473	9032
290	12516	8989
291	12565	8950
292	12610	8908
293	12652	8865
294	12693	8820
295	12743	8782
296	12785	8738
297	12832	8698
298	12874	8654
299	12917	8611
300	12966	8572
301	13011	8530
302	13053	8486
303	13098	8445
304	13146	8405
305	13187	8360
306	13229	8316
307	13270	8272
308	13316	8231
309	13361	8189
310	13408	8148
311	13447	8103
312	13487	8057
313	13524	8011
314	13569	7969
315	13615	7928
316	13659	7885
317	13705	7844
318	13752	7803
319	13801	7763
320	13843	7719
321	13886	7676
322	13928	7632
323	13972	7590
324	14018	7548
325	14056	7502
326	14103	7461
327	14146	7418
328	14190	7375
329	14230	7331
330	14272	7287
331	14321	7246
332	14368	7205
333	14414	7163
334	14458	7121
335	14497	7076
336	14538	7032
337	14586	6991
338	14629	6947
339	14670	6903
340	14714	6860
341	14761	6819
342	14797	6773
343	14840	6729
344	14882	6686
345	14929	6644
346	14974	6602
347	15020	6560
348	15061	6516
349	15106	6474
350	15154	6433
351	15198	6390
352	15240	6346
353	15283	6303
354	15327	6260
355	15373	6218
356	15418	6176
357	15468	6135
358	15518	6094
359	15565	6053
360	15609	6010
361	15654	5967
362	15699	5925
363	15746	5883
364	15795	5842
365	15838	5798
366	15882	5755
367	15927	5713
368	15970	5669
369	16019	5628
370	16060	5584
371	16109	5542
372	16152	5499
373	16197	5457
374	16241	5413
375	16284	5370
376	16328	5327
377	16374	5284
378	16443	5249
379	16484	5205
380	16534	5164
381	16580	5121
382	16625	5078
383	16666	5034
384	16713	4992
385	16757	4949
386	16803	4906
387	16852	4864
388	16898	4821
